Nombre;Id Materia;Cuatrimestre Sugerido;Duracion Cuatrimestre;Id Materia Correlativa
Programacion I;121;1;1;
Sistemas de Proc. de Datos;122;1;1;
Matematica;123;1;1;
Ingles I;111;1;1;
Lab. de Computacion I;124;1;1;
Programacion II;125;2;1;121,124
Arq. y Sistemas Operativos;126;2;1;122
Estadistica;104;2;1;123
Ingles II;112;2;1;111
Lab. de Computacion II;127;2;1;124,121
Metodol. de la Investigacion;128;2;1;
Programacion III;230;3;1;121,124,125,127
Org. Contable de la Empresa;231;3;1;123
Org. Empresarial;232;3;1;104
Elementos de Inv. Operativa;233;3;1;104,123
Lab. de Computación III;234;3;1;121,124,125,127
Metodologia de Sistemas I;235;4;1;128,230,231,232,234,125,127
Diseño y Administración de Base de Datos;236;4;1;125,127,230,234
Legislacion;209;4;1;
Lab. de computacion IV;237;4;1;125,127,230,234
Materia Anual;333;4;2;
